,SOCs.soc,TemperaturesCells.cell_21,TemperaturesCells.cell_20,TemperaturesCells.cell_23,TemperaturesCells.cell_22,TemperaturesCells.cell_25,TemperaturesCells.cell_24,TemperaturesCells.cell_27,TemperaturesCells.cell_26,TemperaturesCells.cell_29,TemperaturesCells.cell_28,TemperaturesCells.cell_89,TemperaturesCells.cell_88,TemperaturesCells.cell_87,TemperaturesCells.cell_86,TemperaturesCells.cell_85,TemperaturesCells.cell_84,TemperaturesCells.cell_83,TemperaturesCells.cell_82,TemperaturesCells.cell_81,TemperaturesCells.cell_80,TemperaturesCells.cell_32,TemperaturesCells.cell_33,TemperaturesCells.cell_30,TemperaturesCells.cell_31,TemperaturesCells.cell_36,TemperaturesCells.cell_37,TemperaturesCells.cell_34,TemperaturesCells.cell_35,TemperaturesCells.cell_38,TemperaturesCells.cell_39,TemperaturesCells.cell_90,TemperaturesCells.cell_91,TemperaturesCells.cell_92,TemperaturesCells.cell_93,TemperaturesCells.cell_94,TemperaturesCells.cell_95,TemperaturesCells.cell_96,TemperaturesCells.cell_97,TemperaturesCells.cell_98,TemperaturesCells.cell_99,TemperaturesCells.cell_100,TemperaturesCells.cell_18,TemperaturesCells.cell_19,TemperaturesCells.cell_10,TemperaturesCells.cell_11,TemperaturesCells.cell_12,TemperaturesCells.cell_13,TemperaturesCells.cell_14,TemperaturesCells.cell_15,TemperaturesCells.cell_16,TemperaturesCells.cell_17,TemperaturesCells.cell_69,TemperaturesCells.cell_68,TemperaturesCells.cell_65,TemperaturesCells.cell_64,TemperaturesCells.cell_67,TemperaturesCells.cell_66,TemperaturesCells.cell_61,TemperaturesCells.cell_60,TemperaturesCells.cell_63,TemperaturesCells.cell_62,TemperaturesCells.cell_2,TemperaturesCells.cell_3,TemperaturesCells.cell_1,TemperaturesCells.cell_6,TemperaturesCells.cell_7,TemperaturesCells.cell_4,TemperaturesCells.cell_5,TemperaturesCells.cell_8,TemperaturesCells.cell_9,TemperaturesCells.cell_78,TemperaturesCells.cell_79,TemperaturesCells.cell_76,TemperaturesCells.cell_77,TemperaturesCells.cell_74,TemperaturesCells.cell_75,TemperaturesCells.cell_72,TemperaturesCells.cell_73,TemperaturesCells.cell_70,TemperaturesCells.cell_71,TemperaturesCells.cell_43,TemperaturesCells.cell_42,TemperaturesCells.cell_41,TemperaturesCells.cell_40,TemperaturesCells.cell_47,TemperaturesCells.cell_46,TemperaturesCells.cell_45,TemperaturesCells.cell_44,TemperaturesCells.cell_49,TemperaturesCells.cell_48,TemperaturesCells.cell_54,TemperaturesCells.cell_55,TemperaturesCells.cell_56,TemperaturesCells.cell_57,TemperaturesCells.cell_50,TemperaturesCells.cell_51,TemperaturesCells.cell_52,TemperaturesCells.cell_53,TemperaturesCells.cell_58,TemperaturesCells.cell_59,Voltages.voltage_max,Voltages.voltage_bat,Voltages.voltage_oc,Voltages.voltage_min,Currents.current_max,Currents.current_min,Currents.current_bat,Temperatures.temp_min,Temperatures.temp_mean,Temperatures.temp_outlet,Temperatures.temp_max,Powers.power_loss,Powers.power_bat,Efficiencies.efficiency,TemperaturesCells.cells_0,TemperaturesCells.cells_1,TemperaturesCells.cells_2,TemperaturesCells.cells_3,TemperaturesCells.cells_4,TemperaturesCells.cells_5,TemperaturesCells.cells_6,TemperaturesCells.cells_7,TemperaturesCells.cells_8,TemperaturesCells.cells_9
145.0,43.9,70.1,70.1,70.0,70.1,70.0,70.0,70.1,70.1,70.1,70.1,70.2,70.2,70.1,70.1,70.1,70.1,70.1,70.1,70.0,70.0,70.0,70.0,69.9,69.9,70.1,70.1,70.0,70.0,70.1,70.1,70.2,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,69.4,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,69.9,69.9,69.4,70.1,70.1,70.1,70.1,70.1,70.1,70.2,70.1,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.1,70.0,70.0,70.0,70.1,70.1,70.1,70.1,70.1,70.1,70.2,70.2,70.2,70.2,69.4,69.5,70.0,70.0,70.2,70.2,1070.0,,935.0,682.0,1040.0,-3270.0,600.0,74.2,69.7,50.3,76.9,,,,69.99,70.06,70.08,70.1,70.1,70.1,70.1,70.1,70.1,70.1
146.0,44.0,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.0,70.1,70.1,70.1,70.0,69.9,70.1,70.1,70.1,70.1,70.1,70.1,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,69.5,70.2,70.2,70.2,70.1,70.1,70.1,70.1,70.1,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.0,70.0,69.5,70.2,70.2,70.1,70.1,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.1,70.1,70.1,70.1,70.2,70.2,70.2,70.1,70.1,70.2,70.2,70.2,70.3,70.3,69.4,69.5,70.0,70.1,70.2,70.2,1070.0,,936.0,682.0,1040.0,-3270.0,600.0,74.2,69.8,50.2,77.0,,,,70.07,70.13,70.14,70.15,70.15,70.15,70.15,70.15,70.15,70.15
147.0,44.1,70.2,70.2,70.1,70.2,70.1,70.2,70.2,70.2,70.2,70.2,70.3,70.3,70.2,70.2,70.2,70.2,70.2,70.2,70.1,70.1,70.1,70.1,70.0,70.0,70.2,70.2,70.1,70.1,70.2,70.2,70.3,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,69.5,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.0,70.0,69.5,70.2,70.2,70.2,70.2,70.2,70.2,70.3,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.1,70.1,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.3,70.3,70.3,70.3,69.4,69.5,70.1,70.1,70.3,70.3,1070.0,,936.0,682.0,1040.0,-3270.0,600.0,74.3,69.8,51.5,77.1,,,,70.09,70.16,70.18,70.2,70.2,70.2,70.2,70.2,70.2,70.2
148.0,44.2,70.2,70.3,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.1,70.1,70.2,70.2,70.1,70.0,70.2,70.2,70.2,70.2,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,69.6,70.3,70.3,70.3,70.2,70.2,70.2,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.1,70.1,69.5,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.2,70.2,70.3,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.4,70.4,69.5,69.6,70.1,70.2,70.3,70.3,1070.0,,936.0,682.0,1040.0,-3270.0,600.0,74.3,69.9,51.2,77.1,,,,70.16,70.23,70.24,70.25,70.25,70.25,70.25,70.25,70.25,70.25
149.0,44.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.2,70.2,70.2,70.2,70.1,70.1,70.3,70.3,70.3,70.2,70.3,70.3,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,69.6,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.1,70.1,69.6,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.3,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.4,69.5,69.6,70.2,70.2,70.4,70.4,1070.0,,936.0,682.0,1040.0,-3270.0,600.0,74.3,70.0,51.2,77.2,,,,70.19,70.26,70.28,70.3,70.3,70.3,70.3,70.3,70.3,70.3
150.0,44.4,70.3,70.4,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.2,70.2,70.3,70.3,70.2,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,69.7,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.4,70.4,70.5,70.4,70.4,70.4,70.4,70.4,70.4,70.2,70.2,69.6,70.4,70.4,70.3,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.3,70.3,70.4,70.4,70.5,70.5,70.5,69.6,69.7,70.2,70.3,70.4,70.4,1070.0,,936.0,682.0,1040.0,-3270.0,600.0,74.4,70.0,51.2,77.3,,,,70.26,70.33,70.34,70.35,70.35,70.35,70.35,70.35,70.35,70.35
151.0,44.5,70.4,70.4,70.3,70.4,70.3,70.3,70.4,70.4,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.2,70.2,70.4,70.4,70.3,70.3,70.4,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,69.7,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.4,70.5,70.5,70.5,70.5,70.5,70.2,70.2,69.6,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.4,70.5,70.4,70.5,70.5,70.5,70.4,70.3,70.3,70.3,70.3,70.4,70.4,70.4,70.4,70.3,70.4,70.5,70.5,70.5,70.5,69.6,69.7,70.3,70.3,70.5,70.4,1070.0,974.0,936.0,682.0,1040.0,-3270.0,101.5,74.4,70.0,50.9,77.3,35568.0,98.861,50.9947643979,70.28,70.36,70.38,70.4,70.4,70.4,70.4,70.4,70.4,70.4
152.0,44.5,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.4,70.4,70.4,70.4,70.4,70.4,70.3,70.3,70.3,70.3,70.2,70.2,70.4,70.4,70.4,70.3,70.4,70.4,70.5,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,69.7,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.2,70.2,69.6,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.4,70.3,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.5,69.6,69.7,70.3,70.3,70.5,70.5,1070.0,975.0,936.0,682.0,1040.0,-3270.0,234.5,74.4,70.0,50.6,77.4,36504.0,228.6375,51.0204081633,70.28,70.36,70.38,70.4,70.4,70.4,70.4,70.4,70.4,70.4
153.0,44.5,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.3,70.3,70.4,70.4,70.2,70.2,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.4,70.4,70.4,70.4,70.4,70.5,70.4,69.7,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.2,70.2,69.7,70.4,70.4,70.4,70.4,70.5,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.5,69.6,69.7,70.3,70.3,70.5,70.5,1070.0,976.0,936.0,682.0,1040.0,-3270.0,265.5,74.4,70.1,49.2,77.4,37440.0,259.128,51.0460251046,70.3,70.37,70.39,70.41,70.41,70.41,70.41,70.41,70.4,70.4
154.0,44.6,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.3,70.3,70.4,70.4,70.3,70.2,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.4,69.7,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.3,70.3,69.7,70.5,70.5,70.4,70.4,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.4,70.4,70.4,70.4,70.5,70.4,70.4,70.4,70.4,70.5,70.5,70.5,70.6,70.5,69.6,69.7,70.3,70.4,70.5,70.5,1070.0,973.0,936.0,682.0,1040.0,-3270.0,41.9,74.5,70.1,47.7,77.4,34632.0,40.7687,50.9690937664,70.35,70.42,70.43,70.44,70.44,70.44,70.43,70.42,70.41,70.4
